species,specimen,id,region,catalog,SL,image_area,x,y,direction,diameter,angle,type,diameter_SL
Mbar,Mbar2,Mbar2_R2,R2,MCZ163113,218.65,34.369917,5.541,0.75,,0.195,NA,minute,0.000891836
Mbar,Mbar2,Mbar2_R3,R3,MCZ163113,218.65,36.56124,2.118,1.856,ventral,0.195,-80.233,minute,0.000891836
Mbar,Mbar3,Mbar3_R2,R2,MCZ132343,225.67,36.385114,4.411,2.797,,0.195,NA,minute,0.000864094
Ebar,Ebar1,Ebar1_R3,R3,MCZ148300,136.59,35.863574,0.356,1.5,ventral,0.194,-62.021,minute,0.001420309
Ncap,Ncap3,Ncap3_R2,R2,MCZ41125,100.26,36.597561,4.274,4.018,ventral,0.194,-89.084,serial,0.001934969
Mbar,Mbar3,Mbar3_R2,R2,MCZ132343,225.67,36.385114,5.823,1.748,,0.193,NA,minute,0.000855231
Ifas,Ifas1,Ifas1_R3,R3,MCZ149522,276.64,22.06386,5.988,3.824,ventral,0.192,-84.694,serial,0.000694043
Cslo,Cslo2,Cslo2_R2,R2,MCZ128578,140.42,36.73425,4.557,0.734,ventral,0.192,-111.974,minute,0.001367327
Cslo,Cslo4,Cslo4_R2,R2,MCZ128954,135.9,33.68643,5.901,2.009,ventral,0.192,-108.435,minute,0.001412804
Cslo,Cslo4,Cslo4_R2,R2,MCZ128954,135.9,33.68643,3.645,2.029,ventral,0.192,-94.514,minute,0.001412804
Ncap,Ncap2,Ncap2_R2,R2,MCZ132798,118.27,36.737701,4.045,1.656,ventral,0.192,-100.534,minute,0.001623404
Sboa,Sboa1,Sboa1_R1,R1,MCZ129188,161.74,36.410932,1.587,3.887,ventral,0.192,-105.682,minute,0.00118709
Sboa,Sboa3,Sboa3_R1,R1,MCZ129188,114.18,36.713055,3.119,3.611,ventral,0.192,-109.443,minute,0.001681555
Mbar,Mbar2,Mbar2_R2,R2,MCZ163113,218.65,34.369917,6.449,0.951,,0.191,NA,minute,0.000873542
Pgue,Pgue1,Pgue1_R3,R3,MCZ131481,95.69,36.162,6.579,2.148,ventral,0.191,-72.718,serial,0.001996029
Anig,Anig3,Anig3_R2,R2,MCZ52845,49.14,14.598325,1.595,1.326,ventral,0.189,-91.507,minute,0.003846154
Mbar,Mbar1,Mbar1_R2,R2,MCZ132342,247.86,31.273812,1.148,2.265,,0.189,NA,minute,0.000762527
Mbar,Mbar3,Mbar3_R2,R2,MCZ132343,225.67,36.385114,0.484,2.77,,0.189,NA,minute,0.000837506
Mbar,Mbar3,Mbar3_R3,R3,MCZ132343,225.67,36.435,0.763,0.145,ventral,0.189,-89.965,minute,0.000837506
Sboa,Sboa2,Sboa2_R1,R1,MCZ129188,164.68,36.425522,3.78,2.958,ventral,0.189,-88.493,minute,0.00114768
Sboa,Sboa4,Sboa4_R2,R2,MCZ129188,146.84,35.890031,5.068,3.099,ventral,0.189,-105.569,minute,0.001287115
Mbar,Mbar3,Mbar3_R2,R2,MCZ132343,225.67,36.385114,4.451,1.839,,0.188,NA,minute,0.000833075
Ifas,Ifas1,Ifas1_R3,R3,MCZ149522,276.64,22.06386,4.077,1.045,ventral,0.187,-87.184,serial,0.000675969
Anig,Anig3,Anig3_R2,R2,MCZ52845,49.14,14.598325,2.122,1.901,ventral,0.187,-91.548,minute,0.003805454
Pgue,Pgue2,Pgue2_R3,R3,MCZ131481,95.75,28.476474,3.923,2.488,ventral,0.187,-83.83,serial,0.001953003
Ifas,Ifas3,Ifas3_R3,R3,MCZ149616,252.33,25.697,0.37,3.456,ventral,0.186,-81.199,serial,0.00073713
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,6.293,2.47,ventral,0.186,-94.635,minute,0.003314917
Anig,Anig2,Anig2_R2,R2,MCZ52845,56.11,16.327406,4.123,4.621,ventral,0.186,-94.635,minute,0.003314917
Anig,Anig3,Anig3_R2,R2,MCZ52845,49.14,14.598325,0.925,1.851,ventral,0.186,-94.764,minute,0.003785104
